b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.003,1.0,3.0,100.0,1000,0,0.0,0.007010483634353066,0.0,5.129090811923262e-05
0.11,0.0,0.003,1.0,3.0,1000.0,1000,0,0.0,0.00022976796020863268,0.0,5.4957167085213954e-08
0.11,0.0,0.001,1e-05,1.1,10.0,1000,0,0.0,0.5451917654671325,0.0,0.2874302103713666
0.11,0.0,0.001,1e-05,1.1,100.0,1000,0,0.0,0.036373579718695495,0.0,0.001339478002980167
0.11,0.0,0.001,1e-05,1.1,1000.0,1000,0,0.0,0.0008453696419467711,0.0,7.166896540770417e-07
0.11,0.0,0.001,1e-05,1.5,10.0,1000,0,0.0,0.556020928877617,0.0,0.3041320189894244
0.11,0.0,0.001,1e-05,1.5,100.0,1000,0,0.0,0.03483466229840674,0.0,0.0011076218389532812
0.11,0.0,0.001,1e-05,1.5,1000.0,1000,0,0.0,0.0008278743145383416,0.0,6.386212199460582e-07
0.11,0.0,0.001,1e-05,2.0,10.0,1000,0,0.0,0.5724688171496556,0.0,0.3233665570854429
0.11,0.0,0.001,1e-05,2.0,100.0,1000,0,0.0,0.037998400381733265,0.0,0.0015015515659957007
0.11,0.0,0.001,1e-05,2.0,1000.0,1000,0,0.0,0.0008462946542034669,0.0,7.163884227636702e-07
0.11,0.0,0.001,1e-05,2.5,10.0,1000,0,0.0,0.5573253223369972,0.0,0.3154165698423452
0.11,0.0,0.001,1e-05,2.5,100.0,1000,0,0.0,0.03645519911411143,0.0,0.001409609624252442
0.11,0.0,0.001,1e-05,2.5,1000.0,1000,0,0.0,0.0008290660898922164,0.0,6.685310171001741e-07
0.11,0.0,0.001,1e-05,3.0,10.0,1000,0,0.0,0.5401446775545761,0.0,0.29931414907516296
0.11,0.0,0.001,1e-05,3.0,100.0,1000,0,0.0,0.03818674644707386,0.0,0.0014247714225832978
0.11,0.0,0.001,1e-05,3.0,1000.0,1000,0,0.0,0.0008938822125713919,0.0,8.049853497631421e-07
0.11,0.0,0.001,0.001,1.1,10.0,1000,0,0.0,0.5182959107036118,0.0,0.29203890076115524
0.11,0.0,0.001,0.001,1.1,100.0,1000,0,0.0,0.03655806707013821,0.0,0.0012442359431081805
0.11,0.0,0.001,0.001,1.1,1000.0,1000,0,0.0,0.0008139656745798682,0.0,6.703242926300564e-07
0.11,0.0,0.001,0.001,1.5,10.0,1000,0,0.0,0.5371861783666957,0.0,0.2806722343824201
0.11,0.0,0.001,0.001,1.5,100.0,1000,0,0.0,0.0365437834590402,0.0,0.0015286979521602205
0.11,0.0,0.001,0.001,1.5,1000.0,1000,0,0.0,0.0008403611723838116,0.0,7.132649473163203e-07
0.11,0.0,0.001,0.001,2.0,10.0,1000,0,0.0,0.5340030491639229,0.0,0.2942654113613966
0.11,0.0,0.001,0.001,2.0,100.0,1000,0,0.0,0.0340803238526146,0.0,0.001197523690037675
0.11,0.0,0.001,0.001,2.0,1000.0,1000,0,0.0,0.0008471087380428272,0.0,7.271378092877015e-07
0.11,0.0,0.001,0.001,2.5,10.0,1000,0,0.0,0.5077289656876697,0.0,0.27825729785848324
0.11,0.0,0.001,0.001,2.5,100.0,1000,0,0.0,0.03453977319608778,0.0,0.0010872243471303552
0.11,0.0,0.001,0.001,2.5,1000.0,1000,0,0.0,0.0009150239192642364,0.0,8.426187530285408e-07
0.11,0.0,0.001,0.001,3.0,10.0,1000,0,0.0,0.5522532829904,0.0,0.305308855097984
0.11,0.0,0.001,0.001,3.0,100.0,1000,0,0.0,0.037238821923341874,0.0,0.0013165080450223264
