b_A,mu,c,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.2,0.0001,0.0003,10.0,523.0,477.0,0.9998061219663138,36.15747613979922,6.838103216808297e-07,184.74870502078923
0.2,0.0001,0.0003,100.0,606.0,394.0,0.9999072087900374,36.82791877700666,2.747580179015246e-07,210.34784046103758
0.2,0.0001,0.0003,1000.0,826.0,174.0,0.9998408305632421,47.197263836099275,9.343076342042779e-07,353.2272290970682
0.2,0.0001,0.0001,10.0,499.0,501.0,0.9998680997439438,46.595090125532984,1.813830210214219e-07,152.7453367706752
0.2,0.0001,0.0001,100.0,550.0,450.0,0.9998548864615815,47.848551874704995,2.3155264694885784e-07,183.8892242188462
0.2,0.0001,0.0001,1000.0,670.0,330.0,0.999829959617885,56.49235870968945,2.5307700740502663e-07,413.6854649324496
0.2,0.0001,0.003,10.0,628.0,372.0,0.9998655913978495,8.718194428624422,6.702364435194835e-06,39.23077732479541
0.2,0.0001,0.003,100.0,876.0,124.0,0.9996774193548388,8.826090936652013,1.2799167533818967e-05,49.70696852145102
0.2,0.0001,0.003,1000.0,985.0,15.0,1.0,12.822959741283206,0.0,250.47196636199996
0.2,0.0001,0.001,10.0,550.0,450.0,0.9998124033947943,23.13487603598909,1.964827632970433e-06,153.53428809041023
0.2,0.0001,0.001,100.0,704.0,296.0,0.9996865532991295,27.040230440142196,6.2298437817746e-06,298.6463785118968
0.2,0.0001,0.001,1000.0,939.0,61.0,1.0,30.308701289091616,0.0,196.29026715248182
0.2,0.001,0.0003,10.0,501.0,499.0,0.9982571288483041,34.98340147811644,8.310460763421043e-06,182.25763260905472
0.2,0.001,0.0003,100.0,570.0,430.0,0.9983058547016419,39.74329907817043,8.57579262695907e-06,359.1612867043021
0.2,0.001,0.0003,1000.0,699.0,301.0,0.9982637902569672,56.92421558037335,7.855236930270813e-06,1091.907029354952
0.2,0.001,0.0001,10.0,510.0,490.0,0.9983934554945593,46.44492333140925,2.5207782678696395e-06,153.73703519717446
0.2,0.001,0.0001,100.0,445.0,555.0,0.9983861412182914,50.7658709681357,2.6779753207422514e-06,407.507166904033
0.2,0.001,0.0001,1000.0,431.0,569.0,0.9984983177341342,65.25282414895639,2.195076779492913e-06,871.4582017917495
0.2,0.001,0.003,10.0,611.0,389.0,0.9974673120786836,9.393689369085557,0.0010569728892850358,48.68134772837774
0.2,0.001,0.003,100.0,867.0,133.0,0.9990685437572957,11.329115915814212,2.8172212047205153e-05,157.73733392079757
0.2,0.001,0.003,1000.0,965.0,35.0,1.0,15.755791066407463,0.0,263.2003353285115
0.2,0.001,0.001,10.0,525.0,475.0,0.9981440338650246,22.850602590133782,3.408389940749093e-05,149.20469549098638
0.2,0.001,0.001,100.0,693.0,307.0,0.9982145016854069,25.655394399981898,5.302245256934697e-05,231.35018698495998
0.2,0.001,0.001,1000.0,878.0,122.0,0.9981434013486095,38.66477764691716,2.7338847026144158e-05,568.6279353672767
0.25,0.0,0.0003,10.0,419.0,581.0,1.0,27.81953280505862,0.0,77.5484605406137
0.25,0.0,0.0003,100.0,503.0,497.0,1.0,29.161581343780824,0.0,72.51221950458385
0.25,0.0,0.0003,1000.0,760.0,240.0,1.0,33.88886731407124,0.0,85.9677700062877
0.25,0.0,0.0001,10.0,406.0,594.0,1.0,34.713039048830595,0.0,71.19461345293291
0.25,0.0,0.0001,100.0,448.0,552.0,1.0,35.55816419723406,0.0,67.47969214453155
0.25,0.0,0.0001,1000.0,627.0,373.0,1.0,40.005394062994014,0.0,94.75049854914704
0.25,0.0,0.003,10.0,504.0,496.0,1.0,11.116240325000657,0.0,42.51246289088222
0.25,0.0,0.003,100.0,790.0,210.0,1.0,12.439013720010607,0.0,60.61103691995044
0.25,0.0,0.003,1000.0,971.0,29.0,1.0,10.92028972000325,0.0,53.839879034495205
0.25,0.0,0.001,10.0,444.0,556.0,1.0,19.62710993916913,0.0,80.87634695056423
0.25,0.0,0.001,100.0,635.0,365.0,1.0,22.513561100188046,0.0,95.13948341208695
0.25,0.0,0.001,1000.0,903.0,97.0,1.0,23.9793411908022,0.0,81.31850151160666
0.25,1e-05,0.0003,10.0,438.0,562.0,0.9999931583301598,27.068175584424413,1.3127734403479628e-08,71.59545946441057
0.25,1e-05,0.0003,100.0,497.0,503.0,0.999976859950315,29.548144837157285,8.721811244182492e-08,82.10064827872868
0.25,1e-05,0.0003,1000.0,778.0,222.0,1.0,34.36016881520732,0.0,91.46290563086556
0.25,1e-05,0.0001,10.0,403.0,597.0,0.99998567843621,34.36621664527744,1.4899996487245518e-08,66.24912677092715
0.25,1e-05,0.0001,100.0,463.0,537.0,0.9999766203784491,35.90285285956984,2.609354834096843e-08,85.87149066762527
0.25,1e-05,0.0001,1000.0,598.0,402.0,0.999981406686175,40.82646055858594,1.9539121982833226e-08,96.9369461263487
0.25,1e-05,0.003,10.0,511.0,489.0,1.0,10.801991689560333,0.0,47.28385598764096
