b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.003,0.1,1.5,1000.0,1000,0,0.0,0.00029155232121455614,0.0,8.141032692274621e-08
0.11,0.0,0.003,0.1,2.0,10.0,1000,0,0.0,0.31475869183958294,0.0,0.09819130272943903
0.11,0.0,0.003,0.1,2.0,100.0,1000,0,0.0,0.017427545670288133,0.0,0.00032128510146476507
0.11,0.0,0.003,0.1,2.0,1000.0,1000,0,0.0,0.00031595826492644393,0.0,9.37261281109918e-08
0.11,0.0,0.003,1.0,0.1,10.0,1000,0,0.0,0.08535985926542222,0.0,0.008121653491055003
0.11,0.0,0.003,1.0,0.1,100.0,1000,0,0.0,0.006657836974867016,0.0,4.06239881431332e-05
0.11,0.0,0.003,1.0,0.1,1000.0,1000,0,0.0,0.0002448739221554911,0.0,5.5002437881032865e-08
0.11,0.0,0.003,1.0,0.5,10.0,1000,0,0.0,0.08485952793755108,0.0,0.007493480528705543
0.11,0.0,0.003,1.0,0.5,100.0,1000,0,0.0,0.006721237606206782,0.0,4.059835579420689e-05
0.11,0.0,0.003,1.0,0.5,1000.0,1000,0,0.0,0.00022761412050295506,0.0,5.484136160259513e-08
0.11,0.0,0.003,1.0,1.0,10.0,1000,0,0.0,0.07911276832015045,0.0,0.006660417576246945
0.11,0.0,0.003,1.0,1.0,100.0,1000,0,0.0,0.006920333213442959,0.0,4.9106874809143894e-05
0.11,0.0,0.003,1.0,1.0,1000.0,1000,0,0.0,0.0002452268743792801,0.0,5.91625857542049e-08
0.11,0.0,0.003,1.0,1.5,10.0,1000,0,0.0,0.09066003112843157,0.0,0.008308777428975015
0.11,0.0,0.003,1.0,1.5,100.0,1000,0,0.0,0.00620842628978357,0.0,3.449078375390091e-05
0.11,0.0,0.003,1.0,1.5,1000.0,1000,0,0.0,0.00024111751685877814,0.0,5.637093053662059e-08
0.11,0.0,0.003,1.0,2.0,10.0,1000,0,0.0,0.08344114757813668,0.0,0.007000435257081454
0.11,0.0,0.003,1.0,2.0,100.0,1000,0,0.0,0.0062292731212101595,0.0,3.555351714735365e-05
0.11,0.0,0.003,1.0,2.0,1000.0,1000,0,0.0,0.00024054851424335692,0.0,5.8404404061203386e-08
0.11,0.0,0.001,1e-05,0.1,10.0,1000,0,0.0,0.5383479807377722,0.0,0.2963094135303181
